# セーブ置き換えが必要なCGファイル名一覧
#（あらかじめ default.tjs などで SystemConfig.saveThumbReplaceList にこのファイルを指定しておくこと）
#
#凡例：
# サムネファイル,元CGファイル1,元CGファイル2,...
#
# ※元CGファイルの末尾に「*」をつけることでワイルドカード指定が可能（ファイル名の先頭や途中は不可）
#
# サムネファイルは「:」を頭につけることで，画像置き換えではなく全体モザイクによる加工指定が可能
# 「:w=縦サイズ:h=横サイズ」でモザイクのブロックの大きさ（縮小前のサイズ基準）を指定可能
# 「:blur」にするとモザイクではなく全体ぼかしになる
# 「:」のみで1280x720時に合わせたモザイク処理が施される（w=64,h=60の縦横ぴったり割り切れる値）
# もしくは省略時のデフォルトをSystemConfig.saveThumbEffectDefaultParamの辞書で指定可能(%[w:100,h:200,blur:1]等)
#
# 例：
#   thumsave_evXXX, evXXX_a, evXXX_b, evXXX_c
#   thumsave_evXXX, evXXX*
#   :, evXXX*
#
#   :w=100:h=200,    ～
#   :blur,           ～ ※「:blur=1」でも可
#   :w=32:h=32:blur, ～ ※複合指定も可
#

#thum_EV101,	EV101*

savethum_ev111b,ev111b*
savethum_ev217g,ev217g*
savethum_ev217h,ev217h*
savethum_ev218a,ev218a*
savethum_ev218b,ev218b*
savethum_ev218c,ev218c*
savethum_ev218d,ev218d*
savethum_ev218e,ev218e*
savethum_ev218f,ev218f*
savethum_ev219b,ev219b*
savethum_ev219c,ev219c*
savethum_ev220a,ev220a*
savethum_ev220b,ev220b*
savethum_ev220c,ev220c*
savethum_ev220d,ev220d*
savethum_ev220e,ev220e*
savethum_ev308a,ev308a*
savethum_ev308b,ev308b*
savethum_ev308c,ev308c*
savethum_ev308d,ev308d*
savethum_ev308e,ev308e*
savethum_ev308f,ev308f*
savethum_ev308g,ev308g*
savethum_ev309c,ev309c*
savethum_ev309d,ev309d*
savethum_ev309e,ev309e*
savethum_ev309f,ev309f*
savethum_ev309g,ev309g*
savethum_ev309h,ev309h*
savethum_ev309i,ev309i*
savethum_ev310a,ev310a*
savethum_ev310b,ev310b*
savethum_ev311a,ev311a*
savethum_ev311b,ev311b*
savethum_ev311c,ev311c*
savethum_ev311d,ev311d*
savethum_ev311e,ev311e*
savethum_ev314b,ev314b*
savethum_ev314c,ev314c*
savethum_ev314d,ev314d*
savethum_ev314e,ev314e*
savethum_ev314f,ev314f*
savethum_ev314g,ev314g*
savethum_ev314h,ev314h*
savethum_ev315b,ev315b*
savethum_ev315c,ev315c*
savethum_ev315d,ev315d*
savethum_ev316a,ev316a*
savethum_ev316b,ev316b*
savethum_ev316c,ev316c*
savethum_ev317c,ev317c*
savethum_ev320_a,ev320_a*
savethum_ev320_b,ev320_b*
savethum_ev320a,ev320a*
savethum_ev320b,ev320b*
savethum_ev320c,ev320c*
savethum_ev320d,ev320d*
savethum_ev320e,ev320e*
savethum_ev320f,ev320f*
savethum_ev320g,ev320g*
savethum_ev321a,ev321a*
savethum_ev321b,ev321b*
savethum_ev321c,ev321c*
savethum_ev321d,ev321d*
savethum_ev412_a,ev412_a*
savethum_ev412_b,ev412_b*
savethum_ev412_c,ev412_c*
savethum_ev412_d,ev412_d*
savethum_ev412_e,ev412_e*
savethum_ev412_f,ev412_f*
savethum_ev412_g,ev412_g*
savethum_ev412_h,ev412_h*
savethum_ev412_i,ev412_i*
savethum_ev413a,ev413a*
savethum_ev413b,ev413b*
savethum_ev413c,ev413c*
savethum_ev413d,ev413d*
savethum_ev413e,ev413e*
savethum_ev413f,ev413f*
savethum_ev413g,ev413g*
savethum_ev413h,ev413h*
savethum_ev414a,ev414a*
savethum_ev414b,ev414b*
savethum_ev414c,ev414c*
savethum_ev414d,ev414d*
savethum_ev414e,ev414e*
savethum_ev414f,ev414f*
savethum_ev414g,ev414g*
savethum_ev414h,ev414h*
savethum_ev414i,ev414i*
savethum_ev414j,ev414j*
savethum_ev415a,ev415a*
savethum_ev415b,ev415b*
savethum_ev415c,ev415c*
savethum_ev415d,ev415d*
savethum_ev415e,ev415e*
savethum_ev415f,ev415f*
savethum_ev415g,ev415g*
savethum_ev415h,ev415h*
savethum_ev415i,ev415i*
savethum_ev415j,ev415j*
savethum_ev415k,ev415k*
savethum_ev416a,ev416a*
savethum_ev416b,ev416b*
savethum_ev416c,ev416c*
savethum_ev416d,ev416d*
savethum_ev416e,ev416e*
savethum_ev416f,ev416f*
savethum_ev416g,ev416g*
savethum_ev416h,ev416h*
savethum_ev416i,ev416i*
savethum_ev416j,ev416j*
savethum_ev416k,ev416k*
savethum_ev417a,ev417a*
savethum_ev417b,ev417b*
savethum_ev417c,ev417c*
savethum_ev417d,ev417d*
savethum_ev417e,ev417e*
savethum_ev417f,ev417f*
savethum_ev418a,ev418a*
savethum_ev418b,ev418b*
savethum_ev418c,ev418c*
savethum_ev418d,ev418d*
savethum_ev419a,ev419a*
savethum_ev419b,ev419b*
savethum_ev419c,ev419c*
savethum_ev419d,ev419d*
savethum_ev419e,ev419e*
savethum_ev419f,ev419f*
savethum_ev419g,ev419g*
savethum_ev419h,ev419h*
savethum_ev419i,ev419i*
savethum_ev420_a,ev420_a*
savethum_ev420_b,ev420_b*
savethum_ev420_c,ev420_c*
savethum_ev420_d,ev420_d*
savethum_ev420b,ev420b*
savethum_ev420c,ev420c*
savethum_ev420d,ev420d*
savethum_ev420e,ev420e*
savethum_ev420f,ev420f*
savethum_ev420g,ev420g*
savethum_ev421a,ev421a*
savethum_ev421b,ev421b*
savethum_ev421c,ev421c*
savethum_ev421d,ev421d*
savethum_ev421e,ev421e*
savethum_ev421f,ev421f*
savethum_ev421g,ev421g*
savethum_ev421h,ev421h*
savethum_ev503c,ev503c*
savethum_ev503d,ev503d*
savethum_ev503e,ev503e*
savethum_ev504a,ev504a*
savethum_ev504b,ev504b*
savethum_ev504c,ev504c*
savethum_ev504d,ev504d*
savethum_ev504e,ev504e*
savethum_ev504f,ev504f*
savethum_ev504g,ev504g*
savethum_ev504h,ev504h*
savethum_ev505a,ev505a*
savethum_ev505b,ev505b*
savethum_ev505c,ev505c*
savethum_ev505d,ev505d*
savethum_ev505e,ev505e*
savethum_ev505f,ev505f*
savethum_ev505g,ev505g*
savethum_ev505h,ev505h*
savethum_ev505i,ev505i*
savethum_ev506a,ev506a*
savethum_ev506b,ev506b*
savethum_ev506c,ev506c*
savethum_ev506d,ev506d*
savethum_ev506e,ev506e*
savethum_ev506f,ev506f*
savethum_ev507a,ev507a*
savethum_ev507b,ev507b*
savethum_ev507c,ev507c*
savethum_ev507d,ev507d*
savethum_ev507e,ev507e*
savethum_ev507f,ev507f*
savethum_ev507g,ev507g*
savethum_ev507h,ev507h*
savethum_ev508a,ev508a*
savethum_ev508b,ev508b*
savethum_ev508c,ev508c*
savethum_ev508d,ev508d*
savethum_ev508e,ev508e*
savethum_ev508f,ev508f*
savethum_ev508g,ev508g*
savethum_ev509a,ev509a*
savethum_ev509b,ev509b*
savethum_ev509c,ev509c*
savethum_ev509d,ev509d*
savethum_ev509e,ev509e*
savethum_ev509f,ev509f*
savethum_ev510a,ev510a*
savethum_ev510b,ev510b*
savethum_ev510c,ev510c*
savethum_ev510d,ev510d*
savethum_ev510e,ev510e*
savethum_ev510f,ev510f*
savethum_ev510g,ev510g*
savethum_ev510h,ev510h*
savethum_ev510i,ev510i*
savethum_ev602_a,ev602_a*
savethum_ev602a,ev602a*
savethum_ev602b,ev602b*
savethum_ev602c,ev602c*
savethum_ev602d,ev602d*
savethum_ev602e,ev602e*
savethum_ev602f,ev602f*
savethum_ev602g,ev602g*
savethum_ev602h,ev602h*
savethum_ev602i,ev602i*
savethum_ev603b,ev603b*
savethum_ev603c,ev603c*
savethum_ev603d,ev603d*
savethum_ev603e,ev603e*
savethum_ev603f,ev603f*
savethum_ev603g,ev603g*
savethum_ev604c,ev604c*
savethum_ev604d,ev604d*
savethum_ev604e,ev604e*
savethum_ev604f,ev604f*
savethum_ev605b,ev605b*
savethum_ev605c,ev605c*
savethum_ev605d,ev605d*
savethum_ev605e,ev605e*
savethum_ev606a,ev606a*
savethum_ev606b,ev606b*
savethum_ev606c,ev606c*
savethum_ev606d,ev606d*
savethum_ev606e,ev606e*
savethum_ev606f,ev606f*
savethum_ev606g,ev606g*
savethum_ev606h,ev606h*
savethum_ev607_a,ev607_a*
savethum_ev607a,ev607a*
savethum_ev607b,ev607b*
savethum_ev607c,ev607c*
savethum_ev607d,ev607d*
savethum_ev607e,ev607e*
savethum_ev607f,ev607f*
savethum_ev607g,ev607g*
savethum_ev608a,ev608a*
savethum_ev608b,ev608b*
savethum_ev608c,ev608c*
savethum_ev608d,ev608d*
savethum_ev608e,ev608e*
savethum_ev608f,ev608f*
savethum_ev609a,ev609a*
savethum_ev609b,ev609b*
savethum_ev609e,ev609e*
savethum_ev609f,ev609f*
savethum_ev609g,ev609g*
savethum_ev609h,ev609h*
savethum_ev609i,ev609i*
savethum_ev609j,ev609j*
savethum_ev609k,ev609k*
savethum_ev609l,ev609l*
savethum_ev711a,ev711a*
savethum_ev711b,ev711b*
savethum_ev711c,ev711c*
savethum_ev711d,ev711d*
savethum_ev711e,ev711e*
savethum_ev711f,ev711f*
savethum_ev711g,ev711g*
savethum_ev711h,ev711h*
savethum_ev711i,ev711i*
savethum_ev712a,ev712a*
savethum_ev712b,ev712b*
savethum_ev712c,ev712c*
savethum_ev712d,ev712d*
savethum_ev712e,ev712e*
savethum_ev712f,ev712f*
savethum_ev712g,ev712g*
