#画像の条件による差し替え機能定義
#スクリプト中画像名,実画像名,合致条件
#記述例
#ev513ge,ev513ge,f.sel_flag==0

#立ち絵鑑賞ユーザー背景変更用
extra_userbg,&sf.exchview_userbg,sf.exchview_userbg!=''
ev117CH,ev117CH,f.EV117sel==0
ev117CH,ev117EH,f.EV117sel==1
ev117CI,ev117CI,f.EV117sel==0
ev117CI,ev117EI,f.EV117sel==1

ev117FA,ev117FA,f.EV117sel==0
ev117FA,ev117JA,f.EV117sel==1
ev117FB,ev117FB,f.EV117sel==0
ev117FB,ev117JB,f.EV117sel==1
ev117FC,ev117FC,f.EV117sel==0
ev117FC,ev117JC,f.EV117sel==1
ev117FD,ev117FD,f.EV117sel==0
ev117FD,ev117JD,f.EV117sel==1
ev117FE,ev117FE,f.EV117sel==0
ev117FE,ev117JE,f.EV117sel==1
ev117FF,ev117FF,f.EV117sel==0
ev117FF,ev117JF,f.EV117sel==1
ev117FG,ev117FG,f.EV117sel==0
ev117FG,ev117JG,f.EV117sel==1
ev117FH,ev117FH,f.EV117sel==0
ev117FH,ev117JH,f.EV117sel==1
ev117FI,ev117FI,f.EV117sel==0
ev117FI,ev117JI,f.EV117sel==1

ev117GA,ev117GA,f.EV117sel==0
ev117GA,ev117KA,f.EV117sel==1
ev117GB,ev117GB,f.EV117sel==0
ev117GB,ev117KB,f.EV117sel==1
ev117GC,ev117GC,f.EV117sel==0
ev117GC,ev117KC,f.EV117sel==1
ev117GD,ev117GD,f.EV117sel==0
ev117GD,ev117KD,f.EV117sel==1
ev117GE,ev117GE,f.EV117sel==0
ev117GE,ev117KE,f.EV117sel==1
ev117GF,ev117GF,f.EV117sel==0
ev117GF,ev117KF,f.EV117sel==1
ev117GG,ev117GG,f.EV117sel==0
ev117GG,ev117KG,f.EV117sel==1
ev117GH,ev117GH,f.EV117sel==0
ev117GH,ev117KH,f.EV117sel==1
ev117GI,ev117GI,f.EV117sel==0
ev117GI,ev117KI,f.EV117sel==1

ev117HA,ev117HA,f.EV117sel==0
ev117HA,ev117LA,f.EV117sel==1
ev117HB,ev117HB,f.EV117sel==0
ev117HB,ev117LB,f.EV117sel==1
ev117HC,ev117HC,f.EV117sel==0
ev117HC,ev117LC,f.EV117sel==1
ev117HD,ev117HD,f.EV117sel==0
ev117HD,ev117LD,f.EV117sel==1
ev117HE,ev117HE,f.EV117sel==0
ev117HE,ev117LE,f.EV117sel==1
ev117HF,ev117HF,f.EV117sel==0
ev117HF,ev117LF,f.EV117sel==1
ev117HG,ev117HG,f.EV117sel==0
ev117HG,ev117LG,f.EV117sel==1
ev117HH,ev117HH,f.EV117sel==0
ev117HH,ev117LH,f.EV117sel==1
ev117HI,ev117HI,f.EV117sel==0
ev117HI,ev117LI,f.EV117sel==1

ev117IA,ev117IA,f.EV117sel==0
ev117IA,ev117MA,f.EV117sel==1
ev117IB,ev117IB,f.EV117sel==0
ev117IB,ev117MB,f.EV117sel==1
ev117IC,ev117IC,f.EV117sel==0
ev117IC,ev117MC,f.EV117sel==1
ev117ID,ev117ID,f.EV117sel==0
ev117ID,ev117MD,f.EV117sel==1
ev117IE,ev117IE,f.EV117sel==0
ev117IE,ev117ME,f.EV117sel==1
ev117IF,ev117IF,f.EV117sel==0
ev117IF,ev117MF,f.EV117sel==1
ev117IG,ev117IG,f.EV117sel==0
ev117IG,ev117MG,f.EV117sel==1
ev117IH,ev117IH,f.EV117sel==0
ev117IH,ev117MH,f.EV117sel==1
ev117II,ev117II,f.EV117sel==0
ev117II,ev117MI,f.EV117sel==1

ev120BA,ev120BA,f.EV120sel==0
ev120BA,ev120CA,f.EV120sel==1
ev120BB,ev120BB,f.EV120sel==0
ev120BB,ev120CB,f.EV120sel==1
ev120BC,ev120BC,f.EV120sel==0
ev120BC,ev120CC,f.EV120sel==1
ev120BD,ev120BD,f.EV120sel==0
ev120BD,ev120CD,f.EV120sel==1
ev120BE,ev120BE,f.EV120sel==0
ev120BE,ev120CE,f.EV120sel==1
ev120BF,ev120BF,f.EV120sel==0
ev120BF,ev120CF,f.EV120sel==1
ev120BG,ev120BG,f.EV120sel==0
ev120BG,ev120CG,f.EV120sel==1
ev120BH,ev120BH,f.EV120sel==0
ev120BH,ev120CH,f.EV120sel==1
ev120BI,ev120BI,f.EV120sel==0
ev120BI,ev120CI,f.EV120sel==1
ev120BJ,ev120BJ,f.EV120sel==0
ev120BJ,ev120CI,f.EV120sel==1

ev211FA,ev211FA,f.EV211sel==0
ev211FA,ev211GA,f.EV211sel==1
ev211FB,ev211FB,f.EV211sel==0
ev211FB,ev211GB,f.EV211sel==1
ev211FC,ev211FC,f.EV211sel==0
ev211FC,ev211GC,f.EV211sel==1
ev211FD,ev211FD,f.EV211sel==0
ev211FD,ev211GD,f.EV211sel==1
ev211FE,ev211FE,f.EV211sel==0
ev211FE,ev211GE,f.EV211sel==1
ev211FF,ev211FF,f.EV211sel==0
ev211FF,ev211GF,f.EV211sel==1
ev211FG,ev211FG,f.EV211sel==0
ev211FG,ev211GG,f.EV211sel==1
ev211FH,ev211FH,f.EV211sel==0
ev211FH,ev211GH,f.EV211sel==1
ev211FI,ev211FI,f.EV211sel==0
ev211FI,ev211GI,f.EV211sel==1

ev212HA,ev212HA,f.EV212sel==0
ev212HA,ev212IA,f.EV212sel==1
ev212HB,ev212HB,f.EV212sel==0
ev212HB,ev212IB,f.EV212sel==1
ev212HC,ev212HC,f.EV212sel==0
ev212HC,ev212IC,f.EV212sel==1
ev212HD,ev212HD,f.EV212sel==0
ev212HD,ev212ID,f.EV212sel==1
ev212HE,ev212HE,f.EV212sel==0
ev212HE,ev212IE,f.EV212sel==1
ev212HF,ev212HF,f.EV212sel==0
ev212HF,ev212IF,f.EV212sel==1
ev212HG,ev212HG,f.EV212sel==0
ev212HG,ev212IG,f.EV212sel==1
ev212HH,ev212HH,f.EV212sel==0
ev212HH,ev212IH,f.EV212sel==1
ev212HI,ev212HI,f.EV212sel==0
ev212HI,ev212II,f.EV212sel==1
ev212HJ,ev212HJ,f.EV212sel==0
ev212HJ,ev212IJ,f.EV212sel==1

ev213GA,ev213GA,f.EV213sel==0
ev213GA,ev213IA,f.EV213sel==1
ev213GB,ev213GB,f.EV213sel==0
ev213GB,ev213IB,f.EV213sel==1
ev213GC,ev213GC,f.EV213sel==0
ev213GC,ev213IC,f.EV213sel==1
ev213GD,ev213GD,f.EV213sel==0
ev213GD,ev213ID,f.EV213sel==1
ev213GE,ev213GE,f.EV213sel==0
ev213GE,ev213IE,f.EV213sel==1
ev213GF,ev213GF,f.EV213sel==0
ev213GF,ev213IF,f.EV213sel==1
ev213GG,ev213GG,f.EV213sel==0
ev213GG,ev213IG,f.EV213sel==1
ev213GH,ev213GH,f.EV213sel==0
ev213GH,ev213IH,f.EV213sel==1
ev213GI,ev213GI,f.EV213sel==0
ev213GI,ev213II,f.EV213sel==1
ev213GJ,ev213GJ,f.EV213sel==0
ev213GJ,ev213IJ,f.EV213sel==1

ev214GA,ev214GA,f.EV214sel==0
ev214GA,ev214HA,f.EV214sel==1
ev214GB,ev214GB,f.EV214sel==0
ev214GB,ev214HB,f.EV214sel==1
ev214GC,ev214GC,f.EV214sel==0
ev214GC,ev214HC,f.EV214sel==1
ev214GD,ev214GD,f.EV214sel==0
ev214GD,ev214HD,f.EV214sel==1
ev214GE,ev214GE,f.EV214sel==0
ev214GE,ev214HE,f.EV214sel==1
ev214GF,ev214GF,f.EV214sel==0
ev214GF,ev214HF,f.EV214sel==1
ev214GG,ev214GG,f.EV214sel==0
ev214GG,ev214HG,f.EV214sel==1
ev214GH,ev214GH,f.EV214sel==0
ev214GH,ev214HH,f.EV214sel==1
ev214GI,ev214GI,f.EV214sel==0
ev214GI,ev214HI,f.EV214sel==1

ev215HA,ev215HA,f.EV215sel==0
ev215HA,ev215JA,f.EV215sel==1
ev215HB,ev215HB,f.EV215sel==0
ev215HB,ev215JB,f.EV215sel==1
ev215HC,ev215HC,f.EV215sel==0
ev215HC,ev215JC,f.EV215sel==1
ev215HD,ev215HD,f.EV215sel==0
ev215HD,ev215JD,f.EV215sel==1
ev215HE,ev215HE,f.EV215sel==0
ev215HE,ev215JE,f.EV215sel==1
ev215HF,ev215HF,f.EV215sel==0
ev215HF,ev215JF,f.EV215sel==1
ev215HG,ev215HG,f.EV215sel==0
ev215HG,ev215JG,f.EV215sel==1
ev215HH,ev215HH,f.EV215sel==0
ev215HH,ev215JH,f.EV215sel==1
ev215HI,ev215HI,f.EV215sel==0
ev215HI,ev215JI,f.EV215sel==1
ev215HJ,ev215HJ,f.EV215sel==0
ev215HJ,ev215JJ,f.EV215sel==1

ev216CA,ev216CA,f.EV216sel==0
ev216CA,ev216DA,f.EV216sel==1
ev216CB,ev216CB,f.EV216sel==0
ev216CB,ev216DB,f.EV216sel==1
ev216CC,ev216CC,f.EV216sel==0
ev216CC,ev216DC,f.EV216sel==1
ev216CD,ev216CD,f.EV216sel==0
ev216CD,ev216DD,f.EV216sel==1
ev216CE,ev216CE,f.EV216sel==0
ev216CE,ev216DE,f.EV216sel==1
ev216CF,ev216CF,f.EV216sel==0
ev216CF,ev216DF,f.EV216sel==1
ev216CG,ev216CG,f.EV216sel==0
ev216CG,ev216DG,f.EV216sel==1
ev216CH,ev216CH,f.EV216sel==0
ev216CH,ev216DH,f.EV216sel==1
ev216CI,ev216CI,f.EV216sel==0
ev216CI,ev216DI,f.EV216sel==1

ev218EA,ev218EA,f.EV218sel==0
ev218EA,ev218FA,f.EV218sel==1
ev218EB,ev218EB,f.EV218sel==0
ev218EB,ev218FB,f.EV218sel==1
ev218EC,ev218EC,f.EV218sel==0
ev218EC,ev218FC,f.EV218sel==1
ev218ED,ev218ED,f.EV218sel==0
ev218ED,ev218FD,f.EV218sel==1
ev218EE,ev218EE,f.EV218sel==0
ev218EE,ev218FE,f.EV218sel==1
ev218EF,ev218EF,f.EV218sel==0
ev218EF,ev218FF,f.EV218sel==1
ev218EG,ev218EG,f.EV218sel==0
ev218EG,ev218FG,f.EV218sel==1
ev218EH,ev218EH,f.EV218sel==0
ev218EH,ev218FH,f.EV218sel==1
ev218EI,ev218EI,f.EV218sel==0
ev218EI,ev218FI,f.EV218sel==1
ev218EJ,ev218EJ,f.EV218sel==0
ev218EJ,ev218FJ,f.EV218sel==1

ev311DA,ev311DA,f.EV311sel==0
ev311DA,ev311EA,f.EV311sel==1
ev311DB,ev311DB,f.EV311sel==0
ev311DB,ev311EB,f.EV311sel==1
ev311DC,ev311DC,f.EV311sel==0
ev311DC,ev311EC,f.EV311sel==1
ev311DD,ev311DD,f.EV311sel==0
ev311DD,ev311ED,f.EV311sel==1
ev311DE,ev311DE,f.EV311sel==0
ev311DE,ev311EE,f.EV311sel==1
ev311DF,ev311DF,f.EV311sel==0
ev311DF,ev311EF,f.EV311sel==1
ev311DG,ev311DG,f.EV311sel==0
ev311DG,ev311EG,f.EV311sel==1
ev311DH,ev311DH,f.EV311sel==0
ev311DH,ev311EH,f.EV311sel==1
ev311DI,ev311DI,f.EV311sel==0
ev311DI,ev311EI,f.EV311sel==1
ev311DJ,ev311DJ,f.EV311sel==0
ev311DJ,ev311EJ,f.EV311sel==1

ev314FA,ev314FA,f.EV314sel==0
ev314FA,ev314GA,f.EV314sel==1
ev314FB,ev314FB,f.EV314sel==0
ev314FB,ev314GB,f.EV314sel==1
ev314FC,ev314FC,f.EV314sel==0
ev314FC,ev314GC,f.EV314sel==1
ev314FD,ev314FD,f.EV314sel==0
ev314FD,ev314GD,f.EV314sel==1
ev314FE,ev314FE,f.EV314sel==0
ev314FE,ev314GE,f.EV314sel==1
ev314FF,ev314FF,f.EV314sel==0
ev314FF,ev314GF,f.EV314sel==1
ev314FG,ev314FG,f.EV314sel==0
ev314FG,ev314GG,f.EV314sel==1
ev314FH,ev314FH,f.EV314sel==0
ev314FH,ev314GH,f.EV314sel==1
ev314FI,ev314FI,f.EV314sel==0
ev314FI,ev314GI,f.EV314sel==1

ev317DA,ev317DA,f.EV317sel==0
ev317DA,ev317CA,f.EV317sel==1
ev317DB,ev317DB,f.EV317sel==0
ev317DB,ev317CB,f.EV317sel==1
ev317DC,ev317DC,f.EV317sel==0
ev317DC,ev317CC,f.EV317sel==1
ev317DD,ev317DD,f.EV317sel==0
ev317DD,ev317CD,f.EV317sel==1
ev317DE,ev317DE,f.EV317sel==0
ev317DE,ev317CE,f.EV317sel==1
ev317DF,ev317DF,f.EV317sel==0
ev317DF,ev317CF,f.EV317sel==1
ev317DG,ev317DG,f.EV317sel==0
ev317DG,ev317CG,f.EV317sel==1
ev317DH,ev317DH,f.EV317sel==0
ev317DH,ev317CH,f.EV317sel==1
ev317DI,ev317DI,f.EV317sel==0
ev317DI,ev317CI,f.EV317sel==1

ev414HA,ev414HA,f.EV414sel==0
ev414HA,ev414JA,f.EV414sel==1
ev414HB,ev414HB,f.EV414sel==0
ev414HB,ev414JB,f.EV414sel==1
ev414HC,ev414HC,f.EV414sel==0
ev414HC,ev414JC,f.EV414sel==1
ev414HD,ev414HD,f.EV414sel==0
ev414HD,ev414JD,f.EV414sel==1
ev414HE,ev414HE,f.EV414sel==0
ev414HE,ev414JE,f.EV414sel==1
ev414HF,ev414HF,f.EV414sel==0
ev414HF,ev414JF,f.EV414sel==1
ev414HG,ev414HG,f.EV414sel==0
ev414HG,ev414JG,f.EV414sel==1

ev415EA,ev415EA,f.EV415sel==0
ev415EA,ev415GA,f.EV415sel==1
ev415EB,ev415EB,f.EV415sel==0
ev415EB,ev415GB,f.EV415sel==1
ev415EC,ev415EC,f.EV415sel==0
ev415EC,ev415GC,f.EV415sel==1
ev415ED,ev415ED,f.EV415sel==0
ev415ED,ev415GD,f.EV415sel==1
ev415EE,ev415EE,f.EV415sel==0
ev415EE,ev415GE,f.EV415sel==1
ev415EF,ev415EF,f.EV415sel==0
ev415EF,ev415GF,f.EV415sel==1
ev415EG,ev415EG,f.EV415sel==0
ev415EG,ev415GG,f.EV415sel==1

ev415JA,ev415JA,f.EV415sel==0
ev415JA,ev415KA,f.EV415sel==1
ev415JB,ev415JB,f.EV415sel==0
ev415JB,ev415KB,f.EV415sel==1
ev415JC,ev415JC,f.EV415sel==0
ev415JC,ev415KC,f.EV415sel==1
ev415JD,ev415JD,f.EV415sel==0
ev415JD,ev415KD,f.EV415sel==1
ev415JE,ev415JE,f.EV415sel==0
ev415JE,ev415KE,f.EV415sel==1
ev415JF,ev415JF,f.EV415sel==0
ev415JF,ev415KF,f.EV415sel==1
ev415JG,ev415JG,f.EV415sel==0
ev415JG,ev415KG,f.EV415sel==1

ev416IA,ev416IA,f.EV416sel==0
ev416IA,ev416KA,f.EV416sel==1
ev416IB,ev416IB,f.EV416sel==0
ev416IB,ev416KB,f.EV416sel==1
ev416IC,ev416IC,f.EV416sel==0
ev416IC,ev416KC,f.EV416sel==1
ev416ID,ev416ID,f.EV416sel==0
ev416ID,ev416KD,f.EV416sel==1
ev416IE,ev416IE,f.EV416sel==0
ev416IE,ev416KE,f.EV416sel==1
ev416IF,ev416IF,f.EV416sel==0
ev416IF,ev416KF,f.EV416sel==1
ev416IG,ev416IG,f.EV416sel==0
ev416IG,ev416KG,f.EV416sel==1

ev417DA,ev417DA,f.EV417sel==0
ev417DA,ev417FA,f.EV417sel==1
ev417DB,ev417DB,f.EV417sel==0
ev417DB,ev417FB,f.EV417sel==1
ev417DC,ev417DC,f.EV417sel==0
ev417DC,ev417FC,f.EV417sel==1
ev417DD,ev417DD,f.EV417sel==0
ev417DD,ev417FD,f.EV417sel==1
ev417DE,ev417DE,f.EV417sel==0
ev417DE,ev417FE,f.EV417sel==1
ev417DF,ev417DF,f.EV417sel==0
ev417DF,ev417FF,f.EV417sel==1
ev417DG,ev417DG,f.EV417sel==0
ev417DG,ev417FG,f.EV417sel==1

ev419HA,ev419HA,f.EV419sel==0
ev419HA,ev419IA,f.EV419sel==1
ev419HB,ev419HB,f.EV419sel==0
ev419HB,ev419IB,f.EV419sel==1
ev419HC,ev419HC,f.EV419sel==0
ev419HC,ev419IC,f.EV419sel==1
ev419HD,ev419HD,f.EV419sel==0
ev419HD,ev419ID,f.EV419sel==1
ev419HE,ev419HE,f.EV419sel==0
ev419HE,ev419IE,f.EV419sel==1
ev419HF,ev419HF,f.EV419sel==0
ev419HF,ev419IF,f.EV419sel==1
ev419HG,ev419HG,f.EV419sel==0
ev419HG,ev419IG,f.EV419sel==1

ev421FA,ev421FA,f.EV421sel==0
ev421FA,ev421HA,f.EV421sel==1
ev421FB,ev421FB,f.EV421sel==0
ev421FB,ev421HB,f.EV421sel==1
ev421FC,ev421FC,f.EV421sel==0
ev421FC,ev421HC,f.EV421sel==1
ev421FD,ev421FD,f.EV421sel==0
ev421FD,ev421HD,f.EV421sel==1
ev421FE,ev421FE,f.EV421sel==0
ev421FE,ev421HE,f.EV421sel==1
ev421FF,ev421FF,f.EV421sel==0
ev421FF,ev421HF,f.EV421sel==1

ev504GA,ev504GA,f.EV504sel==0
ev504GA,ev504HA,f.EV504sel==1
ev504GB,ev504GB,f.EV504sel==0
ev504GB,ev504HB,f.EV504sel==1
ev504GC,ev504GC,f.EV504sel==0
ev504GC,ev504HC,f.EV504sel==1
ev504GD,ev504GD,f.EV504sel==0
ev504GD,ev504HD,f.EV504sel==1
ev504GE,ev504GE,f.EV504sel==0
ev504GE,ev504HE,f.EV504sel==1
ev504GF,ev504GF,f.EV504sel==0
ev504GF,ev504HF,f.EV504sel==1
ev504GG,ev504GG,f.EV504sel==0
ev504GG,ev504HG,f.EV504sel==1

ev505HA,ev505HA,f.EV505sel==0
ev505HA,ev505IA,f.EV505sel==1
ev505HB,ev505HB,f.EV505sel==0
ev505HB,ev505IB,f.EV505sel==1
ev505HC,ev505HC,f.EV505sel==0
ev505HC,ev505IC,f.EV505sel==1
ev505HD,ev505HD,f.EV505sel==0
ev505HD,ev505ID,f.EV505sel==1
ev505HE,ev505HE,f.EV505sel==0
ev505HE,ev505IE,f.EV505sel==1
ev505HF,ev505HF,f.EV505sel==0
ev505HF,ev505IF,f.EV505sel==1
ev505HG,ev505HG,f.EV505sel==0
ev505HG,ev505IG,f.EV505sel==1
ev505HH,ev505HH,f.EV505sel==0
ev505HH,ev505IH,f.EV505sel==1

ev506EA,ev506EA,f.EV506sel==0
ev506EA,ev506FA,f.EV506sel==1
ev506EB,ev506EB,f.EV506sel==0
ev506EB,ev506FB,f.EV506sel==1
ev506EC,ev506EC,f.EV506sel==0
ev506EC,ev506FC,f.EV506sel==1
ev506ED,ev506ED,f.EV506sel==0
ev506ED,ev506FD,f.EV506sel==1
ev506EE,ev506EE,f.EV506sel==0
ev506EE,ev506FE,f.EV506sel==1
ev506EF,ev506EF,f.EV506sel==0
ev506EF,ev506FF,f.EV506sel==1
ev506EG,ev506EG,f.EV506sel==0
ev506EG,ev506FG,f.EV506sel==1

ev507GA,ev507GA,f.EV507sel==0
ev507GA,ev507HA,f.EV507sel==1
ev507GB,ev507GB,f.EV507sel==0
ev507GB,ev507HB,f.EV507sel==1
ev507GC,ev507GC,f.EV507sel==0
ev507GC,ev507HC,f.EV507sel==1
ev507GD,ev507GD,f.EV507sel==0
ev507GD,ev507HD,f.EV507sel==1
ev507GE,ev507GE,f.EV507sel==0
ev507GE,ev507HE,f.EV507sel==1
ev507GF,ev507GF,f.EV507sel==0
ev507GF,ev507HF,f.EV507sel==1
ev507GG,ev507GG,f.EV507sel==0
ev507GG,ev507HG,f.EV507sel==1

ev509CA,ev509CA,f.EV509sel==0
ev509CA,ev509FA,f.EV509sel==1
ev509CB,ev509CB,f.EV509sel==0
ev509CB,ev509FB,f.EV509sel==1
ev509CC,ev509CC,f.EV509sel==0
ev509CC,ev509FC,f.EV509sel==1
ev509CD,ev509CD,f.EV509sel==0
ev509CD,ev509FD,f.EV509sel==1
ev509CE,ev509CE,f.EV509sel==0
ev509CE,ev509FE,f.EV509sel==1
ev509CF,ev509CF,f.EV509sel==0
ev509CF,ev509FF,f.EV509sel==1

ev510FA,ev510FA,f.EV510sel==0
ev510FA,ev510GA,f.EV510sel==1
ev510FB,ev510FB,f.EV510sel==0
ev510FB,ev510GB,f.EV510sel==1
ev510FC,ev510FC,f.EV510sel==0
ev510FC,ev510GC,f.EV510sel==1
ev510FD,ev510FD,f.EV510sel==0
ev510FD,ev510GD,f.EV510sel==1
ev510FE,ev510FE,f.EV510sel==0
ev510FE,ev510GE,f.EV510sel==1
ev510FF,ev510FF,f.EV510sel==0
ev510FF,ev510GF,f.EV510sel==1
ev510FG,ev510FG,f.EV510sel==0
ev510FG,ev510GG,f.EV510sel==1

ev602HA,ev602GA,f.EV602sel==0
ev602HA,ev602HA,f.EV602sel==1
ev602HB,ev602GB,f.EV602sel==0
ev602HB,ev602HB,f.EV602sel==1
ev602HC,ev602GC,f.EV602sel==0
ev602HC,ev602HC,f.EV602sel==1
ev602HD,ev602GD,f.EV602sel==0
ev602HD,ev602HD,f.EV602sel==1
ev602HE,ev602GE,f.EV602sel==0
ev602HE,ev602HE,f.EV602sel==1
ev602HF,ev602GF,f.EV602sel==0
ev602HF,ev602HF,f.EV602sel==1
ev602HG,ev602GG,f.EV602sel==0
ev602HG,ev602HG,f.EV602sel==1

ev603FA,ev603FA,f.EV603sel==0
ev603FA,ev603GA,f.EV603sel==1
ev603FB,ev603FB,f.EV603sel==0
ev603FB,ev603GB,f.EV603sel==1
ev603FC,ev603FC,f.EV603sel==0
ev603FC,ev603GC,f.EV603sel==1
ev603FD,ev603FD,f.EV603sel==0
ev603FD,ev603GD,f.EV603sel==1
ev603FE,ev603FE,f.EV603sel==0
ev603FE,ev603GE,f.EV603sel==1
ev603FF,ev603FF,f.EV603sel==0
ev603FF,ev603GF,f.EV603sel==1
ev603FG,ev603FG,f.EV603sel==0
ev603FG,ev603GG,f.EV603sel==1

ev606FA,ev606FA,f.EV606sel==0
ev606FA,ev606HA,f.EV606sel==1
ev606FB,ev606FB,f.EV606sel==0
ev606FB,ev606HB,f.EV606sel==1
ev606FC,ev606FC,f.EV606sel==0
ev606FC,ev606HC,f.EV606sel==1
ev606FD,ev606FD,f.EV606sel==0
ev606FD,ev606HD,f.EV606sel==1
ev606FE,ev606FE,f.EV606sel==0
ev606FE,ev606HE,f.EV606sel==1
ev606FF,ev606FF,f.EV606sel==0
ev606FF,ev606HF,f.EV606sel==1
ev606FG,ev606FG,f.EV606sel==0
ev606FG,ev606HG,f.EV606sel==1
ev606FH,ev606FH,f.EV606sel==0
ev606FH,ev606HH,f.EV606sel==1

ev711GA,ev711GA,f.EV711sel==0
ev711GA,ev711HA,f.EV711sel==1
ev711GB,ev711GB,f.EV711sel==0
ev711GB,ev711HB,f.EV711sel==1
ev711GC,ev711GC,f.EV711sel==0
ev711GC,ev711HC,f.EV711sel==1
ev711GD,ev711GD,f.EV711sel==0
ev711GD,ev711HD,f.EV711sel==1
ev711GE,ev711GE,f.EV711sel==0
ev711GE,ev711HE,f.EV711sel==1
ev711GF,ev711GF,f.EV711sel==0
ev711GF,ev711HF,f.EV711sel==1

ev712DA,ev712DA,f.EV712sel==0
ev712DA,ev712EA,f.EV712sel==1
ev712DB,ev712DB,f.EV712sel==0
ev712DB,ev712EB,f.EV712sel==1
ev712DC,ev712DC,f.EV712sel==0
ev712DC,ev712EC,f.EV712sel==1
ev712DD,ev712DD,f.EV712sel==0
ev712DD,ev712ED,f.EV712sel==1
ev712DE,ev712DE,f.EV712sel==0
ev712DE,ev712EE,f.EV712sel==1
